[HEADER]
17-10-2022
11:42:16


[DATA]
[s]	[±0.008 bar]
time	pres
0.000	0.014
0.000	-0.003
0.001	-0.018
0.002	0.013
0.003	0.022
0.004	0.015
0.005	-0.003
0.006	-0.009
0.007	-0.011
0.008	-0.013
0.009	0.010
0.010	-0.002
0.011	0.034
0.012	0.004
0.013	0.007
0.014	0.026
0.015	-0.009
0.016	0.014
0.017	-0.008
0.018	-0.015
0.019	0.001
0.020	-0.009
0.021	0.008
0.022	-0.017
0.023	-0.021
0.024	0.014
0.025	0.011
0.026	0.024
0.027	0.004
0.028	0.003
0.029	0.018
0.030	0.030
0.031	0.012
0.032	0.014
0.033	-0.007
0.034	-0.010
0.035	-0.008
0.036	0.001
0.037	-0.002
0.038	0.019
0.039	-0.002
0.040	-0.016
0.041	-0.005
0.042	-0.002
0.043	-0.010
0.044	0.012
0.045	0.018
0.046	0.019
0.047	0.008
0.048	0.037
0.049	-0.000
0.050	0.010
0.051	0.001
0.052	0.007
0.053	0.023
0.054	0.034
0.055	0.012
0.056	0.003
0.057	0.008
0.058	0.023
0.059	0.017
0.060	0.001
0.061	-0.004
0.062	-0.017
0.063	-0.011
0.064	-0.006
0.065	0.028
0.066	0.024
0.067	0.001
0.068	-0.008
0.069	0.006
0.070	0.009
0.071	0.008
0.072	0.023
0.073	0.021
0.074	0.017
0.075	0.020
0.076	0.002
0.077	-0.009
0.078	0.011
0.079	0.037
0.080	0.001
0.081	0.003
0.082	0.021
0.083	-0.004
0.084	-0.020
0.085	0.023
0.086	0.035
0.088	0.020
0.088	0.002
0.089	-0.014
0.090	0.008
0.091	0.026
0.092	0.010
0.093	0.038
0.094	0.002
0.095	0.003
0.096	-0.021
0.097	-0.028
0.098	-0.003
0.099	0.004
0.100	-0.010
0.101	0.006
0.102	-0.012
0.103	-0.020
0.104	-0.020
0.105	0.017
0.106	0.005
0.107	-0.007
0.108	-0.002
0.109	0.005
0.110	0.021
0.111	0.025
0.112	-0.002
0.113	-0.004
0.114	0.016
0.115	-0.014
0.116	0.004
0.117	0.006
0.118	-0.005
0.119	0.007
0.120	0.014
0.121	0.030
0.122	0.027
0.123	0.018
0.124	0.024
0.125	0.026
0.126	0.016
0.127	0.012
0.128	0.009
0.129	0.025
0.130	-0.005
0.131	0.013
0.132	0.013
0.133	0.002
0.134	-0.002
0.135	0.004
0.136	0.003
0.137	-0.000
0.138	-0.010
0.139	0.015
0.140	0.026
0.141	0.006
0.142	0.006
0.143	-0.000
0.144	-0.009
0.145	-0.014
0.146	-0.003
0.147	-0.020
0.148	0.010
0.149	-0.018
0.150	0.000
0.151	-0.011
0.152	-0.003
0.153	-0.020
0.154	0.010
0.155	0.004
0.156	-0.015
0.157	-0.001
0.158	0.010
0.159	0.018
0.160	0.020
0.161	0.006
0.162	0.008
0.163	0.007
0.164	0.007
0.165	0.044
0.166	0.023
0.167	-0.002
0.168	0.013
0.169	0.018
0.170	0.034
0.171	0.026
0.172	0.021
0.173	-0.006
0.174	0.022
0.175	-0.003
0.176	0.009
0.177	0.004
0.178	0.045
0.179	0.038
0.180	0.024
0.181	0.018
0.182	-0.007
0.183	0.008
0.184	0.009
0.185	0.020
0.186	0.018
0.187	0.017
0.188	0.019
0.189	0.014
0.190	0.011
0.191	0.000
0.192	0.030
0.193	-0.008
0.194	0.043
0.195	0.014
0.196	0.005
0.197	0.029
0.198	0.024
0.199	-0.001
0.200	0.027
0.201	0.025
0.202	0.007
0.203	0.012
0.204	0.023
0.205	0.016
0.206	0.003
0.207	0.019
0.208	0.019
0.209	0.000
0.210	-0.009
0.211	-0.007
0.212	0.015
0.213	0.017
0.214	0.008
0.215	0.008
0.216	-0.005
0.217	-0.004
0.218	0.011
0.220	-0.010
0.220	-0.022
0.221	-0.020
0.222	-0.005
0.223	0.009
0.224	-0.011
0.225	0.013
0.226	0.010
0.227	0.022
0.228	0.007
0.229	0.018
0.230	0.005
0.231	0.022
0.232	-0.006
0.233	-0.026
0.234	-0.007
0.235	-0.017
0.236	-0.019
0.237	-0.012
0.238	0.015
0.239	-0.013
0.240	-0.014
0.241	-0.011
0.242	-0.000
0.243	0.002
0.244	0.026
0.245	0.011
0.246	0.006
0.247	-0.008
0.248	-0.006
0.249	0.014
0.250	0.019
0.251	0.005
0.252	0.017
0.253	0.001
0.254	0.017
0.255	0.051
0.256	0.031
0.257	0.018
0.258	0.006
0.259	-0.009
0.260	0.013
0.261	-0.017
0.262	-0.005
0.263	0.005
0.264	-0.006
0.265	-0.011
0.266	0.015
0.267	-0.007
0.268	0.010
0.269	0.016
0.270	0.009
0.271	0.004
0.272	0.013
0.273	0.008
0.274	-0.012
0.275	-0.017
0.276	-0.022
0.277	-0.010
0.278	0.003
0.279	0.007
0.280	0.026
0.281	0.032
0.282	-0.008
0.283	0.026
0.284	-0.005
0.285	-0.023
0.286	-0.023
0.288	-0.003
0.288	0.013
0.289	0.016
0.290	0.001
0.291	0.016
0.292	0.015
0.293	0.021
0.294	0.009
0.295	0.011
0.296	-0.014
0.297	0.006
0.298	0.026
0.299	0.001
0.300	-0.001
0.301	-0.006
0.302	0.035
0.303	0.023
0.304	0.001
0.305	0.004
0.306	-0.017
0.307	0.013
0.308	0.029
0.309	0.037
0.310	0.021
0.311	-0.007
0.312	0.001
0.313	0.024
0.314	0.029
0.315	0.029
0.316	0.014
0.317	0.012
0.318	-0.017
0.320	-0.015
0.320	0.010
0.321	0.003
0.322	0.008
0.323	-0.005
0.324	0.002
0.325	0.037
0.326	0.037
0.327	0.047
0.328	0.050
0.329	-0.010
0.330	-0.034
0.331	-0.023
0.332	0.009
0.333	0.003
0.334	0.016
0.335	0.057
0.336	0.034
0.337	-0.009
0.338	-0.009
0.339	-0.004
0.340	0.003
0.341	0.020
0.342	-0.003
0.343	0.020
0.344	0.015
0.345	-0.012
0.346	0.017
0.347	-0.004
0.348	-0.018
0.349	-0.008
0.350	0.012
0.351	0.031
0.352	-0.025
0.353	-0.008
0.354	0.030
0.355	0.013
0.356	0.006
0.357	0.009
0.358	-0.008
0.359	-0.005
0.360	-0.003
0.361	-0.001
0.362	0.000
0.363	0.013
0.364	-0.004
0.365	-0.011
0.366	-0.021
0.367	-0.011
0.368	-0.006
0.369	-0.013
0.370	0.007
0.371	-0.000
0.372	0.017
0.373	-0.007
0.374	-0.005
0.375	-0.012
0.376	0.023
0.377	0.020
0.378	0.048
0.379	0.026
0.380	0.011
0.381	0.003
0.382	0.025
0.383	0.039
0.384	0.031
0.385	0.004
0.386	0.033
0.387	0.024
0.388	-0.001
0.389	0.005
0.390	0.004
0.391	0.028
0.392	0.031
0.393	0.009
0.394	0.021
0.395	0.026
0.396	0.034
0.397	0.044
0.398	0.032
0.399	0.018
0.400	-0.009
0.401	-0.020
0.402	0.002
0.403	-0.002
0.404	0.001
0.405	-0.011
0.406	0.007
0.407	0.008
0.408	0.003
0.409	0.009
0.410	-0.007
0.411	-0.002
0.412	-0.024
0.413	-0.002
0.414	-0.011
0.415	-0.012
0.416	-0.003
0.417	-0.010
0.418	0.009
0.419	0.015
0.420	0.004
0.421	0.017
0.422	0.018
0.423	-0.000
0.424	-0.021
0.425	-0.004
0.426	0.012
0.427	0.009
0.428	0.008
0.429	0.015
0.430	-0.002
0.431	-0.016
0.432	0.010
0.433	0.014
0.434	0.025
0.435	0.014
0.436	-0.006
0.437	0.033
0.438	0.016
0.439	0.002
0.440	-0.017
0.441	-0.011
0.442	-0.010
0.443	0.012
0.444	-0.001
0.445	0.025
0.446	-0.015
0.447	-0.017
0.448	-0.010
0.449	0.022
0.450	0.023
0.451	-0.010
0.452	-0.026
0.453	-0.003
0.454	0.013
0.455	0.001
0.456	0.013
0.457	0.032
0.458	-0.003
0.459	-0.024
0.460	-0.010
0.461	-0.018
0.462	-0.011
0.463	0.012
0.464	0.021
0.465	0.004
0.466	0.015
0.467	0.008
0.468	-0.004
0.469	-0.010
0.470	-0.022
0.471	-0.015
0.472	0.006
0.473	0.006
0.474	-0.010
0.475	0.012
0.476	0.002
0.477	0.010
0.478	0.015
0.479	-0.000
0.480	0.026
0.481	0.010
0.482	0.010
0.483	0.037
0.484	0.018
0.485	-0.004
0.486	-0.011
0.487	-0.031
0.488	-0.015
0.489	-0.007
0.490	0.011
0.491	-0.015
0.492	-0.025
0.493	0.015
0.494	-0.010
0.495	0.024
0.496	0.019
0.497	0.024
0.498	0.021
0.499	-0.012
0.500	0.003
0.501	-0.001
0.502	-0.009
0.503	-0.000
0.504	-0.021
0.505	0.004
